,bn_pt,m,n,method_1,method_2,ratio
118,12,3,5,apm,itv,0.81191247649906
119,12,3,5,itv,bnw,0.4432577303092124
120,12,4,1,bnw,apm,0.5905036201448058
121,12,4,1,apm,itv,0.4188967558702348
122,12,4,1,itv,bnw,0.4446577863114525
123,12,4,2,bnw,apm,0.1309252370094804
124,12,4,2,apm,itv,0.8294731789271571
125,12,4,2,itv,bnw,0.14492579703188127
126,12,4,3,bnw,apm,0.3736949477979119
127,12,4,3,apm,itv,0.6479459178367135
128,12,4,3,itv,bnw,0.3374934997399896
129,12,4,4,bnw,apm,0.7795911836473459
130,12,4,4,apm,itv,0.8985559422376895
131,12,4,4,itv,bnw,0.6846673866954678
132,12,4,5,bnw,apm,0.38557542301692066
133,12,4,5,apm,itv,0.7622304892195688
134,12,4,5,itv,bnw,0.29749189967598705
135,12,5,1,bnw,apm,0.33517340693627745
136,12,5,1,apm,itv,0.8097923916956679
137,12,5,1,itv,bnw,0.38681547261890475
138,12,5,2,bnw,apm,0.5591823672946918
139,12,5,2,apm,itv,0.3874954998199928
140,12,5,2,itv,bnw,0.5100204008160326
141,12,5,3,bnw,apm,0.4172966918676747
142,12,5,3,apm,itv,0.81191247649906
143,12,5,3,itv,bnw,0.4432577303092124
144,12,5,4,bnw,apm,0.38557542301692066
145,12,5,4,apm,itv,0.7622304892195688
146,12,5,4,itv,bnw,0.29749189967598705
147,12,5,5,bnw,apm,0.8419136765470618
148,12,5,5,apm,itv,0.8497939917596704
149,12,5,5,itv,bnw,0.780271210848434
150,13,1,1,bnw,apm,0.9601984079363175
151,13,1,1,apm,itv,0.9814792591703668
152,13,1,1,itv,bnw,0.9427177087083484
153,13,1,2,bnw,apm,0.5082203288131525
154,13,1,2,apm,itv,0.719028761150446
155,13,1,2,itv,bnw,0.33493339733589345
156,13,1,3,bnw,apm,0.24804992199687986
157,13,1,3,apm,itv,0.718028721148846
158,13,1,3,itv,bnw,0.38385535421416855
159,13,1,4,bnw,apm,0.7388295531821273
160,13,1,4,apm,itv,0.9387575503020121
161,13,1,4,itv,bnw,0.6879475179007161
162,13,1,5,bnw,apm,0.5959438377535101
163,13,1,5,apm,itv,0.9479179167166687
164,13,1,5,itv,bnw,0.5761430457218288
165,13,2,1,bnw,apm,0.5082203288131525
166,13,2,1,apm,itv,0.719028761150446
167,13,2,1,itv,bnw,0.33493339733589345
168,13,2,2,bnw,apm,0.9007160286411456
169,13,2,2,apm,itv,0.9823592943717748
170,13,2,2,itv,bnw,0.8831953278131125
171,13,2,3,bnw,apm,0.780671226849074
172,13,2,3,apm,itv,0.6795071802872115
173,13,2,3,itv,bnw,0.5092203688147526
174,13,2,4,bnw,apm,0.4979799191967679
175,13,2,4,apm,itv,0.6804272170886836
176,13,2,4,itv,bnw,0.43965758630345214
177,13,2,5,bnw,apm,0.3005320212808512
178,13,2,5,apm,itv,0.9705188207528301
179,13,2,5,itv,bnw,0.2927317092683707
180,13,3,1,bnw,apm,0.24804992199687986
181,13,3,1,apm,itv,0.718028721148846
182,13,3,1,itv,bnw,0.38385535421416855
183,13,3,2,bnw,apm,0.780671226849074
184,13,3,2,apm,itv,0.6795071802872115
185,13,3,2,itv,bnw,0.5092203688147526
186,13,3,3,bnw,apm,0.8941157646305852
187,13,3,3,apm,itv,0.9619984799391975
188,13,3,3,itv,bnw,0.8621944877795111
189,13,3,4,bnw,apm,0.3404536181447258
190,13,3,4,apm,itv,0.6659466378655147
191,13,3,4,itv,bnw,0.3034521380855234
192,13,3,5,bnw,apm,0.5407816312652506
193,13,3,5,apm,itv,0.7152686107444298
194,13,3,5,itv,bnw,0.3690547621904876
195,13,4,1,bnw,apm,0.7388295531821273
196,13,4,1,apm,itv,0.9387575503020121
197,13,4,1,itv,bnw,0.6879475179007161
198,13,4,2,bnw,apm,0.4979799191967679
199,13,4,2,apm,itv,0.6804272170886836
200,13,4,2,itv,bnw,0.43965758630345214
201,13,4,3,bnw,apm,0.3404536181447258
202,13,4,3,apm,itv,0.6659466378655147
203,13,4,3,itv,bnw,0.3034521380855234
204,13,4,4,bnw,apm,0.9007560302412096
205,13,4,4,apm,itv,0.9809992399695988
206,13,4,4,itv,bnw,0.8848353934157366
207,13,4,5,bnw,apm,0.4669386775471019
208,13,4,5,apm,itv,0.6772270890835633
209,13,4,5,itv,bnw,0.39657586303452136
210,13,5,1,bnw,apm,0.5959438377535101
211,13,5,1,apm,itv,0.9479179167166687
212,13,5,1,itv,bnw,0.5761430457218288
213,13,5,2,bnw,apm,0.3005320212808512
214,13,5,2,apm,itv,0.9705188207528301
215,13,5,2,itv,bnw,0.2927317092683707
216,13,5,3,bnw,apm,0.5407816312652506
217,13,5,3,apm,itv,0.7152686107444298
218,13,5,3,itv,bnw,0.3690547621904876
219,13,5,4,bnw,apm,0.4669386775471019
220,13,5,4,apm,itv,0.6772270890835633
221,13,5,4,itv,bnw,0.39657586303452136
222,13,5,5,bnw,apm,0.8807152286091444
223,13,5,5,apm,itv,0.9558382335293412
224,13,5,5,itv,bnw,0.8695147805912237
225,14,1,1,bnw,apm,0.9706788271530862
226,14,1,1,apm,itv,0.984399375975039
227,14,1,1,itv,bnw,0.9611184447377895
228,14,1,2,bnw,apm,0.780871234849394
229,14,1,2,apm,itv,0.6490259610384416
230,14,1,2,itv,bnw,0.5983839353574143
231,14,1,3,bnw,apm,0.4606184247369895
232,14,1,3,apm,itv,0.5497419896795872
233,14,1,3,itv,bnw,0.5483019320772831
234,14,1,4,bnw,apm,0.5551822072882915
235,14,1,4,apm,itv,0.9772790911636465
236,14,1,4,itv,bnw,0.5358214328573143
237,14,1,5,bnw,apm,0.3392535701428057
238,14,1,5,apm,itv,0.6596263850554022
239,14,1,5,itv,bnw,0.26365054602184085
240,14,2,1,bnw,apm,0.780871234849394
241,14,2,1,apm,itv,0.6490259610384416
242,14,2,1,itv,bnw,0.5983839353574143
243,14,2,2,bnw,apm,0.9762390495619825
244,14,2,2,apm,itv,0.9857594303772151
245,14,2,2,itv,bnw,0.9625585023400937
246,14,2,3,bnw,apm,0.4950598023920957
247,14,2,3,apm,itv,0.6214248569942797
248,14,2,3,itv,bnw,0.40693627745109806
249,14,2,4,bnw,apm,0.7681507260290411
250,14,2,4,apm,itv,0.8365534621384856
251,14,2,4,itv,bnw,0.7546701868074723
252,14,2,5,bnw,apm,0.6441457658306332
253,14,2,5,apm,itv,0.6702268090723629
254,14,2,5,itv,bnw,0.48817952718108726
255,14,3,1,bnw,apm,0.4606184247369895
256,14,3,1,apm,itv,0.5497419896795872
257,14,3,1,itv,bnw,0.5483019320772831
258,14,3,2,bnw,apm,0.4950598023920957
259,14,3,2,apm,itv,0.6214248569942797
260,14,3,2,itv,bnw,0.40693627745109806
261,14,3,3,bnw,apm,0.969238769550782
262,14,3,3,apm,itv,0.9815592623704948
263,14,3,3,itv,bnw,0.9518780751230049
264,14,3,4,bnw,apm,0.5294211768470739
265,14,3,4,apm,itv,0.6052642105684227
266,14,3,4,itv,bnw,0.4824192967718709
267,14,3,5,bnw,apm,0.4609384375375015
268,14,3,5,apm,itv,0.9249169966798672
269,14,3,5,itv,bnw,0.4542581703268131
270,14,4,1,bnw,apm,0.5551822072882915
271,14,4,1,apm,itv,0.9772790911636465
272,14,4,1,itv,bnw,0.5358214328573143
273,14,4,2,bnw,apm,0.7681507260290411
274,14,4,2,apm,itv,0.8365534621384856
275,14,4,2,itv,bnw,0.7546701868074723
276,14,4,3,bnw,apm,0.5294211768470739
277,14,4,3,apm,itv,0.6052642105684227
278,14,4,3,itv,bnw,0.4824192967718709
279,14,4,4,bnw,apm,0.9611984479379175
280,14,4,4,apm,itv,0.9811992479699188
281,14,4,4,itv,bnw,0.9429577183087323
282,14,4,5,bnw,apm,0.5303412136485459
283,14,4,5,apm,itv,0.7380695227809112
284,14,4,5,itv,bnw,0.4138965558622345
285,14,5,1,bnw,apm,0.3392535701428057
286,14,5,1,apm,itv,0.6596263850554022
287,14,5,1,itv,bnw,0.26365054602184085
288,14,5,2,bnw,apm,0.6441457658306332
289,14,5,2,apm,itv,0.6702268090723629
290,14,5,2,itv,bnw,0.48817952718108726
291,14,5,3,bnw,apm,0.4609384375375015
292,14,5,3,apm,itv,0.9249169966798672
293,14,5,3,itv,bnw,0.4542581703268131
294,14,5,4,bnw,apm,0.5303412136485459
295,14,5,4,apm,itv,0.7380695227809112
296,14,5,4,itv,bnw,0.4138965558622345
297,14,5,5,bnw,apm,0.875795031801272
298,14,5,5,apm,itv,0.9855994239769591
299,14,5,5,itv,bnw,0.8626345053802152
300,15,1,1,bnw,apm,0.9877595103804152
301,15,1,1,apm,itv,0.9902396095843834
302,15,1,1,itv,bnw,0.9934797391895676
303,15,1,2,bnw,apm,0.6778671146845874
304,15,1,2,apm,itv,0.6267450698027921
305,15,1,2,itv,bnw,0.4394975799031961
306,15,1,3,bnw,apm,0.6469058762350494
307,15,1,3,apm,itv,0.7213488539541582
308,15,1,3,itv,bnw,0.5711428457138286
309,15,1,4,bnw,apm,0.8553942157686307
310,15,1,4,apm,itv,0.9789191567662706
311,15,1,4,itv,bnw,0.8456738269530781
312,15,1,5,bnw,apm,0.8096323852954118
313,15,1,5,apm,itv,0.9870394815792631
314,15,1,5,itv,bnw,0.812192487699508
315,15,2,1,bnw,apm,0.6778671146845874
